City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Tateyama,JP,2020-02-19 04:44:09,34.98,139.87,55.0,50,75,10.29
93,Butaritari,KI,2020-02-19 04:44:09,3.07,172.79,84.11,77,17,18.52
94,Kodiak,US,2020-02-19 04:43:44,57.79,-152.41,33.8,59,1,13.87
95,Nioro,GM,2020-02-19 04:44:10,13.35,-15.75,67.77,33,16,1.21
96,Simoes,BR,2020-02-19 04:44:10,-7.6,-40.82,70.18,96,74,1.39
97,Tuktoyaktuk,CA,2020-02-19 04:44:10,69.45,-133.04,-4.0,76,75,13.87
98,Odienne,CI,2020-02-19 04:44:11,9.51,-7.57,67.05,33,0,2.8
99,Upernavik,GL,2020-02-19 04:44:11,72.79,-56.15,-11.34,96,96,6.73
100,Shestakovo,RU,2020-02-19 04:44:11,56.49,103.96,17.33,88,100,4.05
101,Arlit,NE,2020-02-19 04:44:11,18.74,7.39,59.27,28,40,8.95
102,Nanortalik,GL,2020-02-19 04:44:11,60.14,-45.24,21.16,59,67,42.81
103,Port Keats,AU,2020-02-19 04:44:12,-14.25,129.55,89.2,59,79,7.78
104,Woodward,US,2020-02-19 04:44:12,36.43,-99.39,33.01,54,1,3.36
105,Cabo San Lucas,MX,2020-02-19 04:42:40,22.89,-109.91,71.6,56,5,3.36
106,Lardos,GR,2020-02-19 04:44:12,36.09,28.02,51.8,93,20,1.12
107,Thompson,CA,2020-02-19 04:44:13,55.74,-97.86,-11.2,69,5,8.05
108,Puerto Ayora,EC,2020-02-19 04:44:13,-0.74,-90.35,77.09,88,2,7.38
109,Port Elizabeth,ZA,2020-02-19 04:44:13,-33.92,25.57,66.2,88,43,9.17
110,Poum,NC,2020-02-19 04:44:13,-20.23,164.02,80.38,79,1,19.13
111,Westport,US,2020-02-19 04:44:14,41.14,-73.36,44.6,93,90,8.05
112,Sao Gabriel Da Cachoeira,BR,2020-02-19 04:44:14,-0.13,-67.09,74.05,97,66,1.14
113,Tiznit,MA,2020-02-19 04:44:14,29.58,-9.5,58.12,29,65,2.71
114,Dunedin,NZ,2020-02-19 04:44:15,-45.87,170.5,60.01,78,96,3.0
115,Novopokrovka,UA,2020-02-19 04:44:15,49.84,36.55,37.4,93,90,6.71
116,Pringsewu,ID,2020-02-19 04:44:15,-5.36,104.97,80.92,85,26,4.68
117,Port Macquarie,AU,2020-02-19 04:41:56,-31.43,152.92,91.99,57,4,11.41
118,Jamestown,US,2020-02-19 04:44:15,42.1,-79.24,33.01,80,90,5.82
119,Nyurba,RU,2020-02-19 04:44:16,63.28,118.33,1.27,94,20,5.53
120,Zdvinsk,RU,2020-02-19 04:44:16,54.7,78.66,24.6,93,100,15.97
121,Bredasdorp,ZA,2020-02-19 04:44:16,-34.53,20.04,68.0,82,92,10.29
122,Twin Falls,US,2020-02-19 04:44:16,42.56,-114.46,26.01,79,1,3.36
123,East London,ZA,2020-02-19 04:44:16,-33.02,27.91,64.4,100,84,4.7
124,Vetlanda,SE,2020-02-19 04:44:17,57.43,15.08,37.99,100,90,10.29
125,Ahipara,NZ,2020-02-19 04:44:17,-35.17,173.17,75.99,95,31,1.99
